time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2021-06-11,0.0155,18.6723,0,274.465,63.9273,0,120.9013,0.3326,2.1751,0.1655,7.018,94.7425,10.176,1.0827,9.7442,2.1654,0.0228,0.2053,0.5322,0,0,0
2021-06-12,0.0226,19.8489,0,268.0224,63.2472,0,120.9013,0.3326,2.2028,0.1647,6.899,93.1367,10.0036,1.0744,9.6699,2.1489,0.0225,0.2028,0.5258,0,0,0
2021-06-13,0.0236,20.2664,0,265.8007,62.5672,0,120.9013,0.3326,2.2304,0.164,6.7801,91.5309,9.8311,1.0662,9.5956,2.1324,0.0223,0.2003,0.5194,0,0,0
2021-06-14,0.0251,20.685,0,263.6056,61.8871,0,120.9013,0.3326,2.2581,0.1632,6.6611,89.9251,9.6586,1.0579,9.5213,2.1158,0.022,0.1979,0.513,0,0,0
2021-06-15,0.0213,20.2781,0,265.7386,61.207,0,120.9013,0.3326,2.2857,0.1625,6.5422,88.3193,9.4861,1.0497,9.447,2.0993,0.0217,0.1954,0.5066,0,0,0
2021-06-16,0.0184,18.9385,0,272.9831,60.5269,0,120.9013,0.3326,2.3134,0.1617,6.4232,86.7135,9.3137,1.0414,9.3727,2.0828,0.0214,0.1929,0.5001,0,0,0
2021-06-17,0.0153,18.1529,0,277.3976,59.8468,0,120.9013,0.3326,2.341,0.161,6.3043,85.1076,9.1412,1.0332,9.2984000000000009,2.0663,0.0212,0.1904,0.49370000000000003,0,0,0
2021-06-18,0.0123,18.5673,0,275.0534,59.1668,0,120.9013,0.3326,2.3687,0.1602,6.1853,83.5018,8.9687,1.0249,9.2241,2.0498,0.0209,0.188,0.4873,0,0,0
2021-06-19,0.0103,19.8588,0,267.9694,58.4867,0,120.9013,0.3326,2.3963,0.1594,6.0664,81.896,8.7962,1.0166,9.1497,2.0333,0.0206,0.1855,0.4809,0,0,0
2021-06-20,0.0088,19.8272,0,268.1386,57.8066,0,120.9013,0.3326,2.424,0.1587,5.9474,80.2902,8.6238,1.0084,9.0754,2.0168,0.0203,0.183,0.4745,0,0,0
2021-06-21,0.0074,20.3752,0,265.2268,57.1265,0,120.9013,0.3326,2.4516,0.1579,5.8285,78.6844,8.4513,1.0001,9.0011,2.0003,0.0201,0.1805,0.4681,0,0,0
2021-06-22,0.0085,18.598,0,274.881,57.3986,0,120.9013,0.3458,2.4793,0.1599,5.9078,79.755,8.5663,1.0174,9.1567,2.0348,0.0203,0.1831,0.4747,0,0,0
2021-06-23,0.0066,16.5484,0,286.8207,57.6706,0,120.9013,0.359,2.5069,0.162,5.9871,80.8255,8.6813,1.0347,9.3123,2.0694,0.0206,0.1857,0.4814,0,0,0
2021-06-24,0.0051,16.2149,0,288.8517,57.9426,0,120.9013,0.3722,2.5346,0.164,6.0664,81.896,8.7962,1.052,9.4679,2.104,0.0209,0.1883,0.4881,0,0,0
2021-06-25,0.0044,16.6245,0,286.3612,58.2147,0,120.9013,0.3854,2.5622,0.166,6.1457,82.9666,8.9112,1.0693,9.6235,2.1386,0.0212,0.1908,0.4947,0,0,0
2021-06-26,0.0039,18.1275,0,277.5425,58.4867,0,120.9013,0.3986,2.5899,0.168,6.225,84.0371,9.0262,1.0866,9.7791,2.1731,0.0215,0.1934,0.5014,0,0,0
2021-06-27,0.005,18.8726,0,273.3487,58.7587,0,120.9013,0.4118,2.6175,0.17,6.3043,85.1076,9.1412,1.1039,9.9347,2.2077,0.0218,0.196,0.5081,0,0,0
2021-06-28,0.0045,19.3449,0,270.7486,59.0308,0,120.9013,0.425,2.6452,0.172,6.3836,86.1782,9.2562,1.1211,10.0903,2.2423,0.0221,0.1985,0.5147,0,0,0
2021-06-29,0.0039,19.7748,0,268.42,59.3028,0,120.9013,0.4382,2.6728,0.174,6.4629,87.2487,9.3712,1.1384,10.2458,2.2769,0.0223,0.2011,0.5214,0,0,0
2021-06-30,0.0036,20.0461,0,266.9684,59.5748,0,120.9013,0.4514,2.7005,0.176,6.5422,88.3193,9.4861,1.1557,10.4014,2.3114,0.0226,0.2037,0.5281,0,0,0
2021-07-01,0.0048,19.7566,0,268.518,59.8468,0,120.9013,0.4646,2.7281,0.178,6.6215,89.3898,9.6011,1.173,10.557,2.346,0.0229,0.2063,0.5347,0,0,0
2021-07-02,0.0057,18.6561,0,274.5553,60.1189,0,120.9013,0.4778,2.7558,0.18,6.7008,90.4603,9.7161,1.1903,10.7126,2.3806,0.0232,0.2088,0.5414,0,0,0
2021-07-03,0.0037,17.1981,0,282.9371,60.3909,0,120.9013,0.491,2.7834,0.182,6.7801,91.5309,9.8311,1.2076,10.8682,2.4152,0.0235,0.2114,0.5481,0,0,0
2021-07-04,0.0034,17.6337,0,280.3854,60.6629,0,120.9013,0.5042,2.8111,0.184,6.8594,92.6014,9.9461,1.2249,11.0238,2.4497,0.0238,0.214,0.5548,0,0,0
2021-07-05,0.0032,18.8506,0,273.4708,60.935,0,120.9013,0.5174,2.8387,0.186,6.9387,93.6719,10.0611,1.2422,11.1794,2.4843,0.0241,0.2165,0.5614,0,0,0
2021-07-06,0.0031,19.5023,0,269.8919,61.207,0,120.9013,0.5306,2.8664,0.188,7.018,94.7425,10.176,1.2594,11.335,2.5189,0.0243,0.2191,0.5681,0,0,0
