time,FLOW
2021-06-11,0.0155
2021-06-12,0.0226
2021-06-13,0.0236
2021-06-14,0.0251
2021-06-15,0.0213
2021-06-16,0.0184
2021-06-17,0.0153
2021-06-18,0.0123
2021-06-19,0.0103
2021-06-20,0.0088
2021-06-21,0.0074
2021-06-22,0.0085
2021-06-23,0.0066
2021-06-24,0.0051
2021-06-25,0.0044
2021-06-26,0.0039
2021-06-27,0.005
2021-06-28,0.0045
2021-06-29,0.0039
2021-06-30,0.0036
2021-07-01,0.0048
2021-07-02,0.0057
2021-07-03,0.0037
2021-07-04,0.0034
2021-07-05,0.0032
2021-07-06,0.0031
2021-07-07,0.003
2021-07-08,0.0035
2021-07-09,0.0033
2021-07-10,0.0031
2021-07-11,0.003
2021-07-12,0.0029
2021-07-13,0.0027
2021-07-14,0.0031
2021-07-15,0.0029
2021-07-16,0.0026
2021-07-17,0.0036
2021-07-18,0.0028
2021-07-19,0.0026
2021-07-20,0.0025
2021-07-21,0.0024
2021-07-22,0.0022
2021-07-23,0.0022
2021-07-24,0.0022
2021-07-25,0.003
2021-07-26,0.0076
2021-07-27,0.0034
2021-07-28,0.0027
2021-07-29,0.0025
2021-07-30,0.0023
2021-07-31,0.0022
